SVID,PRN,Azimuth,Elevation
12,G12,327.09,79.39
19,G19,76.79,12.47
24,G24,210.73,20.78
29,G29,286.31,21.26
5,G05,163.03,28.95
6,G06,41.75,25.15
25,G25,314.95,46.27
20,G20,134.39,49.59
11,G11,36.28,67.24
28,G28,321.18,5.21
82,E12,15.69,78.96
84,E14,288.61,34.94
103,E33,41.09,23.73
95,E25,317.08,23.95
81,E11,229.55,42.55
101,E31,134.99,46.59
80,E10,241.4,71.5
94,E24,322.21,78.1
47,R10,227.08,74.45
48,R11,325.04,34.68
58,R21,266.18,38.7
46,R09,169.71,35.28
57,R20,357.01,55.04
56,R19,44.44,5.77
42,R05,106.39,5.86
41,R04,60.28,8.37
226,X226,295.05,57.28
230,X230,62.01,10.32
162,B22,138.09,11.78
174,B34,259.74,11.25
166,B26,200.07,50.87
159,B19,86.74,16.36
175,B35,33.37,53.47
152,B12,270.74,38.06
164,B24,290.13,48.22
160,B20,42.79,3.39
179,B39,328.99,2.23
169,B29,65.32,3.4
227,X227,160.93,8.47
165,B25,323.27,5.14
12,G12,327.07,79.41
19,G19,76.81,12.45
24,G24,210.72,20.76
29,G29,286.33,21.28
5,G05,163.02,28.97
6,G06,41.75,25.13
25,G25,314.94,46.29
20,G20,134.36,49.61
11,G11,36.28,67.22
28,G28,321.17,5.22
82,E12,15.69,78.94
84,E14,288.63,34.95
103,E33,41.09,23.72
95,E25,317.08,23.97
81,E11,229.57,42.57
101,E31,135.0,46.57
80,E10,241.45,71.51
94,E24,322.18,78.11
47,R10,227.0,74.43
48,R11,325.02,34.7
58,R21,266.21,38.71
46,R09,169.72,35.26
57,R20,357.04,55.03
56,R19,44.45,5.75
42,R05,106.37,5.88
41,R04,60.25,8.37
226,X226,295.08,57.29
230,X230,61.99,10.32
162,B22,138.08,11.79
174,B34,259.75,11.27
166,B26,200.05,50.85
159,B19,86.72,16.37
175,B35,33.4,53.46
152,B12,270.77,38.08
164,B24,290.1,48.23
160,B20,42.77,3.38
179,B39,328.98,2.23
169,B29,65.33,3.38
227,X227,160.93,8.45
165,B25,323.27,5.16
12,G12,327.07,79.41
19,G19,76.81,12.45
24,G24,210.72,20.76
29,G29,286.33,21.28
5,G05,163.02,28.97
6,G06,41.75,25.13
25,G25,314.94,46.29
20,G20,134.36,49.61
11,G11,36.28,67.22
28,G28,321.17,5.22
82,E12,15.69,78.94
84,E14,288.63,34.95
103,E33,41.09,23.72
95,E25,317.08,23.97
81,E11,229.57,42.57
101,E31,135.0,46.57
80,E10,241.45,71.51
94,E24,322.18,78.11
47,R10,227.0,74.43
48,R11,325.02,34.7
58,R21,266.21,38.71
46,R09,169.72,35.26
57,R20,357.04,55.03
56,R19,44.45,5.75
42,R05,106.37,5.88
41,R04,60.25,8.37
226,X226,295.08,57.29
230,X230,61.99,10.32
162,B22,138.08,11.79
174,B34,259.75,11.27
166,B26,200.05,50.85
159,B19,86.72,16.37
175,B35,33.4,53.46
152,B12,270.77,38.08
164,B24,290.1,48.23
160,B20,42.77,3.38
179,B39,328.98,2.23
169,B29,65.33,3.38
227,X227,160.93,8.45
165,B25,323.27,5.16
12,G12,327.07,79.41
19,G19,76.81,12.45
24,G24,210.72,20.76
29,G29,286.33,21.28
5,G05,163.02,28.97
6,G06,41.75,25.13
25,G25,314.94,46.29
20,G20,134.36,49.61
11,G11,36.28,67.22
28,G28,321.17,5.22
82,E12,15.69,78.94
84,E14,288.63,34.95
103,E33,41.09,23.72
95,E25,317.08,23.97
81,E11,229.57,42.57
101,E31,135.0,46.57
80,E10,241.45,71.51
94,E24,322.18,78.11
47,R10,227.0,74.43
48,R11,325.02,34.7
58,R21,266.21,38.71
46,R09,169.72,35.26
57,R20,357.04,55.03
56,R19,44.45,5.75
42,R05,106.37,5.88
41,R04,60.25,8.37
226,X226,295.08,57.29
230,X230,61.99,10.32
162,B22,138.08,11.79
174,B34,259.75,11.27
166,B26,200.05,50.85
159,B19,86.72,16.37
175,B35,33.4,53.46
152,B12,270.77,38.08
164,B24,290.1,48.23
160,B20,42.77,3.38
179,B39,328.98,2.23
169,B29,65.33,3.38
227,X227,160.93,8.45
165,B25,323.27,5.16
12,G12,327.05,79.44
19,G19,76.82,12.44
24,G24,210.71,20.74
29,G29,286.35,21.29
5,G05,163.01,28.99
6,G06,41.76,25.11
25,G25,314.93,46.31
20,G20,134.33,49.63
11,G11,36.27,67.2
28,G28,321.15,5.23
82,E12,15.7,78.92
84,E14,288.64,34.96
103,E33,41.09,23.7
95,E25,317.08,23.98
81,E11,229.59,42.58
101,E31,135.02,46.55
80,E10,241.5,71.53
94,E24,322.15,78.13
47,R10,226.92,74.4
48,R11,325.01,34.73
58,R21,266.24,38.72
46,R09,169.73,35.23
57,R20,357.08,55.01
56,R19,44.47,5.73
42,R05,106.35,5.9
41,R04,60.23,8.38
226,X226,295.12,57.3
230,X230,61.97,10.32
162,B22,138.06,11.81
174,B34,259.77,11.28
166,B26,200.04,50.82
159,B19,86.7,16.38
175,B35,33.42,53.44
152,B12,270.79,38.09
164,B24,290.07,48.24
160,B20,42.76,3.38
179,B39,328.97,2.23
169,B29,65.34,3.37
227,X227,160.93,8.43
165,B25,323.26,5.17
12,G12,327.05,79.44
19,G19,76.82,12.44
24,G24,210.71,20.74
29,G29,286.35,21.29
5,G05,163.01,28.99
6,G06,41.76,25.11
25,G25,314.93,46.31
20,G20,134.33,49.63
11,G11,36.27,67.2
28,G28,321.15,5.23
82,E12,15.7,78.92
84,E14,288.64,34.96
103,E33,41.09,23.7
95,E25,317.08,23.98
81,E11,229.59,42.58
101,E31,135.02,46.55
80,E10,241.5,71.53
94,E24,322.15,78.13
47,R10,226.92,74.4
48,R11,325.01,34.73
58,R21,266.24,38.72
46,R09,169.73,35.23
57,R20,357.08,55.01
56,R19,44.47,5.73
42,R05,106.35,5.9
41,R04,60.23,8.38
226,X226,295.12,57.3
230,X230,61.97,10.32
162,B22,138.06,11.81
174,B34,259.77,11.28
166,B26,200.04,50.82
159,B19,86.7,16.38
175,B35,33.42,53.44
152,B12,270.79,38.09
164,B24,290.07,48.24
160,B20,42.76,3.38
179,B39,328.97,2.23
169,B29,65.34,3.37
227,X227,160.93,8.43
165,B25,323.26,5.17
12,G12,327.05,79.44
19,G19,76.82,12.44
24,G24,210.71,20.74
29,G29,286.35,21.29
5,G05,163.01,28.99
6,G06,41.76,25.11
25,G25,314.93,46.31
20,G20,134.33,49.63
11,G11,36.27,67.2
28,G28,321.15,5.23
82,E12,15.7,78.92
84,E14,288.64,34.96
103,E33,41.09,23.7
95,E25,317.08,23.98
81,E11,229.59,42.58
101,E31,135.02,46.55
80,E10,241.5,71.53
94,E24,322.15,78.13
47,R10,226.92,74.4
48,R11,325.01,34.73
58,R21,266.24,38.72
46,R09,169.73,35.23
57,R20,357.08,55.01
56,R19,44.47,5.73
42,R05,106.35,5.9
41,R04,60.23,8.38
226,X226,295.12,57.3
230,X230,61.97,10.32
162,B22,138.06,11.81
174,B34,259.77,11.28
166,B26,200.04,50.82
159,B19,86.7,16.38
175,B35,33.42,53.44
152,B12,270.79,38.09
164,B24,290.07,48.24
160,B20,42.76,3.38
179,B39,328.97,2.23
169,B29,65.34,3.37
227,X227,160.93,8.43
165,B25,323.26,5.17
12,G12,327.03,79.46
19,G19,76.84,12.42
24,G24,210.69,20.72
29,G29,286.37,21.3
5,G05,163.0,29.02
6,G06,41.76,25.09
25,G25,314.92,46.33
20,G20,134.31,49.65
11,G11,36.26,67.17
28,G28,321.14,5.24
82,E12,15.71,78.9
84,E14,288.66,34.97
103,E33,41.1,23.69
95,E25,317.09,24.0
81,E11,229.61,42.6
101,E31,135.04,46.54
80,E10,241.56,71.54
94,E24,322.12,78.15
47,R10,226.84,74.38
48,R11,325.0,34.75
58,R21,266.28,38.74
46,R09,169.73,35.2
57,R20,357.12,54.99
56,R19,44.48,5.72
42,R05,106.33,5.91
41,R04,60.2,8.39
226,X226,295.16,57.31
230,X230,61.95,10.32
162,B22,138.05,11.82
174,B34,259.79,11.29
166,B26,200.03,50.8
159,B19,86.68,16.39
175,B35,33.44,53.43
152,B12,270.82,38.1
164,B24,290.04,48.25
160,B20,42.74,3.38
179,B39,328.97,2.23
169,B29,65.36,3.36
227,X227,160.93,8.41
165,B25,323.26,5.18
12,G12,327.03,79.46
19,G19,76.84,12.42
24,G24,210.69,20.72
29,G29,286.37,21.3
5,G05,163.0,29.02
6,G06,41.76,25.09
25,G25,314.92,46.33
20,G20,134.31,49.65
11,G11,36.26,67.17
28,G28,321.14,5.24
82,E12,15.71,78.9
84,E14,288.66,34.97
103,E33,41.1,23.69
95,E25,317.09,24.0
81,E11,229.61,42.6
101,E31,135.04,46.54
80,E10,241.56,71.54
94,E24,322.12,78.15
47,R10,226.84,74.38
48,R11,325.0,34.75
58,R21,266.28,38.74
46,R09,169.73,35.2
57,R20,357.12,54.99
56,R19,44.48,5.72
42,R05,106.33,5.91
41,R04,60.2,8.39
226,X226,295.16,57.31
230,X230,61.95,10.32
162,B22,138.05,11.82
174,B34,259.79,11.29
166,B26,200.03,50.8
159,B19,86.68,16.39
175,B35,33.44,53.43
152,B12,270.82,38.1
164,B24,290.04,48.25
160,B20,42.74,3.38
179,B39,328.97,2.23
169,B29,65.36,3.36
227,X227,160.93,8.41
165,B25,323.26,5.18
12,G12,327.03,79.46
19,G19,76.84,12.42
24,G24,210.69,20.72
29,G29,286.37,21.3
5,G05,163.0,29.02
6,G06,41.76,25.09
25,G25,314.92,46.33
20,G20,134.31,49.65
11,G11,36.26,67.17
28,G28,321.14,5.24
82,E12,15.71,78.9
84,E14,288.66,34.97
103,E33,41.1,23.69
95,E25,317.09,24.0
81,E11,229.61,42.6
101,E31,135.04,46.54
80,E10,241.56,71.54
94,E24,322.12,78.15
47,R10,226.84,74.38
48,R11,325.0,34.75
58,R21,266.28,38.74
46,R09,169.73,35.2
57,R20,357.12,54.99
56,R19,44.48,5.72
42,R05,106.33,5.91
41,R04,60.2,8.39
226,X226,295.16,57.31
230,X230,61.95,10.32
162,B22,138.05,11.82
174,B34,259.79,11.29
166,B26,200.03,50.8
159,B19,86.68,16.39
175,B35,33.44,53.43
152,B12,270.82,38.1
164,B24,290.04,48.25
160,B20,42.74,3.38
179,B39,328.97,2.23
169,B29,65.36,3.36
227,X227,160.93,8.41
165,B25,323.26,5.18
12,G12,327.02,79.49
19,G19,76.86,12.41
24,G24,210.68,20.71
29,G29,286.39,21.32
5,G05,162.99,29.04
6,G06,41.77,25.07
25,G25,314.92,46.36
20,G20,134.28,49.66
11,G11,36.26,67.15
28,G28,321.12,5.25
82,E12,15.72,78.88
84,E14,288.68,34.98
103,E33,41.1,23.67
95,E25,317.09,24.01
81,E11,229.63,42.61
101,E31,135.06,46.52
80,E10,241.61,71.56
94,E24,322.09,78.17
47,R10,226.76,74.36
48,R11,324.99,34.77
58,R21,266.31,38.75
46,R09,169.74,35.17
57,R20,357.15,54.97
56,R19,44.5,5.7
42,R05,106.31,5.93
41,R04,60.18,8.39
226,X226,295.19,57.31
230,X230,61.93,10.33
162,B22,138.04,11.84
174,B34,259.8,11.3
166,B26,200.02,50.78
159,B19,86.66,16.4
175,B35,33.47,53.42
152,B12,270.84,38.11
164,B24,290.01,48.25
160,B20,42.72,3.37
179,B39,328.96,2.23
169,B29,65.37,3.35
227,X227,160.93,8.4
165,B25,323.25,5.2
12,G12,327.02,79.49
19,G19,76.86,12.41
24,G24,210.68,20.71
29,G29,286.39,21.32
5,G05,162.99,29.04
6,G06,41.77,25.07
25,G25,314.92,46.36
20,G20,134.28,49.66
11,G11,36.26,67.15
28,G28,321.12,5.25
82,E12,15.72,78.88
84,E14,288.68,34.98
103,E33,41.1,23.67
95,E25,317.09,24.01
81,E11,229.63,42.61
101,E31,135.06,46.52
80,E10,241.61,71.56
94,E24,322.09,78.17
47,R10,226.76,74.36
48,R11,324.99,34.77
58,R21,266.31,38.75
46,R09,169.74,35.17
57,R20,357.15,54.97
56,R19,44.5,5.7
42,R05,106.31,5.93
41,R04,60.18,8.39
226,X226,295.19,57.31
230,X230,61.93,10.33
162,B22,138.04,11.84
174,B34,259.8,11.3
166,B26,200.02,50.78
159,B19,86.66,16.4
175,B35,33.47,53.42
152,B12,270.84,38.11
164,B24,290.01,48.25
160,B20,42.72,3.37
179,B39,328.96,2.23
169,B29,65.37,3.35
227,X227,160.93,8.4
165,B25,323.25,5.2
12,G12,327.02,79.49
19,G19,76.86,12.41
24,G24,210.68,20.71
29,G29,286.39,21.32
5,G05,162.99,29.04
6,G06,41.77,25.07
25,G25,314.92,46.36
20,G20,134.28,49.66
11,G11,36.26,67.15
28,G28,321.12,5.25
82,E12,15.72,78.88
84,E14,288.68,34.98
103,E33,41.1,23.67
95,E25,317.09,24.01
81,E11,229.63,42.61
101,E31,135.06,46.52
80,E10,241.61,71.56
94,E24,322.09,78.17
47,R10,226.76,74.36
48,R11,324.99,34.77
58,R21,266.31,38.75
46,R09,169.74,35.17
57,R20,357.15,54.97
56,R19,44.5,5.7
42,R05,106.31,5.93
41,R04,60.18,8.39
226,X226,295.19,57.31
230,X230,61.93,10.33
162,B22,138.04,11.84
174,B34,259.8,11.3
166,B26,200.02,50.78
159,B19,86.66,16.4
175,B35,33.47,53.42
152,B12,270.84,38.11
164,B24,290.01,48.25
160,B20,42.72,3.37
179,B39,328.96,2.23
169,B29,65.37,3.35
227,X227,160.93,8.4
165,B25,323.25,5.2
12,G12,327.0,79.51
19,G19,76.88,12.4
24,G24,210.66,20.69
29,G29,286.41,21.33
5,G05,162.98,29.06
6,G06,41.77,25.05
25,G25,314.91,46.38
20,G20,134.25,49.68
11,G11,36.25,67.13
28,G28,321.1,5.26
82,E12,15.73,78.86
84,E14,288.69,34.99
103,E33,41.1,23.65
95,E25,317.09,24.03
81,E11,229.65,42.63
101,E31,135.08,46.5
80,E10,241.66,71.57
94,E24,322.06,78.19
47,R10,226.67,74.34
48,R11,324.97,34.8
58,R21,266.34,38.76
46,R09,169.74,35.14
57,R20,357.19,54.95
56,R19,44.51,5.68
42,R05,106.29,5.94
41,R04,60.16,8.4
226,X226,295.23,57.32
230,X230,61.91,10.33
162,B22,138.02,11.85
174,B34,259.82,11.31
166,B26,200.0,50.76
159,B19,86.64,16.4
175,B35,33.49,53.4
152,B12,270.86,38.12
164,B24,289.98,48.26
160,B20,42.7,3.37
179,B39,328.96,2.23
169,B29,65.38,3.33
227,X227,160.93,8.38
165,B25,323.24,5.21
12,G12,327.0,79.51
19,G19,76.88,12.4
24,G24,210.66,20.69
29,G29,286.41,21.33
5,G05,162.98,29.06
6,G06,41.77,25.05
25,G25,314.91,46.38
20,G20,134.25,49.68
11,G11,36.25,67.13
28,G28,321.1,5.26
82,E12,15.73,78.86
84,E14,288.69,34.99
103,E33,41.1,23.65
95,E25,317.09,24.03
81,E11,229.65,42.63
101,E31,135.08,46.5
80,E10,241.66,71.57
94,E24,322.06,78.19
47,R10,226.67,74.34
48,R11,324.97,34.8
58,R21,266.34,38.76
46,R09,169.74,35.14
57,R20,357.19,54.95
56,R19,44.51,5.68
42,R05,106.29,5.94
41,R04,60.16,8.4
226,X226,295.23,57.32
230,X230,61.91,10.33
162,B22,138.02,11.85
174,B34,259.82,11.31
166,B26,200.0,50.76
159,B19,86.64,16.4
175,B35,33.49,53.4
152,B12,270.86,38.12
164,B24,289.98,48.26
160,B20,42.7,3.37
179,B39,328.96,2.23
169,B29,65.38,3.33
227,X227,160.93,8.38
165,B25,323.24,5.21
12,G12,327.0,79.51
19,G19,76.88,12.4
24,G24,210.66,20.69
29,G29,286.41,21.33
5,G05,162.98,29.06
6,G06,41.77,25.05
25,G25,314.91,46.38
20,G20,134.25,49.68
11,G11,36.25,67.13
28,G28,321.1,5.26
82,E12,15.73,78.86
84,E14,288.69,34.99
103,E33,41.1,23.65
95,E25,317.09,24.03
81,E11,229.65,42.63
101,E31,135.08,46.5
80,E10,241.66,71.57
94,E24,322.06,78.19
47,R10,226.67,74.34
48,R11,324.97,34.8
58,R21,266.34,38.76
46,R09,169.74,35.14
57,R20,357.19,54.95
56,R19,44.51,5.68
42,R05,106.29,5.94
41,R04,60.16,8.4
226,X226,295.23,57.32
230,X230,61.91,10.33
162,B22,138.02,11.85
174,B34,259.82,11.31
166,B26,200.0,50.76
159,B19,86.64,16.4
175,B35,33.49,53.4
152,B12,270.86,38.12
164,B24,289.98,48.26
160,B20,42.7,3.37
179,B39,328.96,2.23
169,B29,65.38,3.33
227,X227,160.93,8.38
165,B25,323.24,5.21
12,G12,326.98,79.54
19,G19,76.89,12.38
24,G24,210.65,20.67
29,G29,286.43,21.34
5,G05,162.97,29.08
6,G06,41.77,25.03
25,G25,314.9,46.4
20,G20,134.23,49.7
11,G11,36.24,67.1
28,G28,321.09,5.27
82,E12,15.74,78.84
84,E14,288.71,35.0
103,E33,41.11,23.64
95,E25,317.09,24.04
81,E11,229.67,42.64
101,E31,135.1,46.49
80,E10,241.71,71.58
94,E24,322.03,78.21
47,R10,226.59,74.32
48,R11,324.96,34.82
58,R21,266.38,38.77
46,R09,169.75,35.12
57,R20,357.23,54.94
56,R19,44.53,5.66
42,R05,106.27,5.96
41,R04,60.13,8.41
226,X226,295.27,57.33
230,X230,61.89,10.33
162,B22,138.01,11.87
174,B34,259.84,11.33
166,B26,199.99,50.74
159,B19,86.62,16.41
175,B35,33.51,53.39
152,B12,270.89,38.13
164,B24,289.95,48.27
160,B20,42.69,3.37
179,B39,328.95,2.24
169,B29,65.4,3.32
227,X227,160.93,8.36
165,B25,323.24,5.23
12,G12,326.98,79.54
19,G19,76.89,12.38
24,G24,210.65,20.67
29,G29,286.43,21.34
5,G05,162.97,29.08
6,G06,41.77,25.03
25,G25,314.9,46.4
20,G20,134.23,49.7
11,G11,36.24,67.1
28,G28,321.09,5.27
82,E12,15.74,78.84
84,E14,288.71,35.0
103,E33,41.11,23.64
95,E25,317.09,24.04
81,E11,229.67,42.64
101,E31,135.1,46.49
80,E10,241.71,71.58
94,E24,322.03,78.21
47,R10,226.59,74.32
48,R11,324.96,34.82
58,R21,266.38,38.77
46,R09,169.75,35.12
57,R20,357.23,54.94
56,R19,44.53,5.66
42,R05,106.27,5.96
41,R04,60.13,8.41
226,X226,295.27,57.33
230,X230,61.89,10.33
162,B22,138.01,11.87
174,B34,259.84,11.33
166,B26,199.99,50.74
159,B19,86.62,16.41
175,B35,33.51,53.39
152,B12,270.89,38.13
164,B24,289.95,48.27
160,B20,42.69,3.37
179,B39,328.95,2.24
169,B29,65.4,3.32
227,X227,160.93,8.36
165,B25,323.24,5.23
12,G12,326.98,79.54
19,G19,76.89,12.38
24,G24,210.65,20.67
29,G29,286.43,21.34
5,G05,162.97,29.08
6,G06,41.77,25.03
25,G25,314.9,46.4
20,G20,134.23,49.7
11,G11,36.24,67.1
28,G28,321.09,5.27
82,E12,15.74,78.84
84,E14,288.71,35.0
103,E33,41.11,23.64
95,E25,317.09,24.04
81,E11,229.67,42.64
101,E31,135.1,46.49
80,E10,241.71,71.58
94,E24,322.03,78.21
47,R10,226.59,74.32
48,R11,324.96,34.82
58,R21,266.38,38.77
46,R09,169.75,35.12
57,R20,357.23,54.94
56,R19,44.53,5.66
42,R05,106.27,5.96
41,R04,60.13,8.41
226,X226,295.27,57.33
230,X230,61.89,10.33
162,B22,138.01,11.87
174,B34,259.84,11.33
166,B26,199.99,50.74
159,B19,86.62,16.41
175,B35,33.51,53.39
152,B12,270.89,38.13
164,B24,289.95,48.27
160,B20,42.69,3.37
179,B39,328.95,2.24
169,B29,65.4,3.32
227,X227,160.93,8.36
165,B25,323.24,5.23
12,G12,326.96,79.56
19,G19,76.91,12.37
24,G24,210.64,20.66
29,G29,286.45,21.35
5,G05,162.96,29.1
6,G06,41.78,25.01
25,G25,314.9,46.42
20,G20,134.2,49.72
11,G11,36.24,67.08
28,G28,321.07,5.28
82,E12,15.75,78.82
84,E14,288.73,35.02
103,E33,41.11,23.62
95,E25,317.09,24.06
81,E11,229.69,42.66
101,E31,135.12,46.47
80,E10,241.77,71.6
94,E24,322.0,78.23
47,R10,226.51,74.3
48,R11,324.95,34.84
58,R21,266.41,38.79
46,R09,169.75,35.09
57,R20,357.26,54.92
56,R19,44.55,5.65
42,R05,106.25,5.98
41,R04,60.11,8.41
226,X226,295.3,57.34
230,X230,61.87,10.33
162,B22,137.99,11.88
174,B34,259.85,11.34
166,B26,199.98,50.72
159,B19,86.6,16.42
175,B35,33.53,53.37
152,B12,270.91,38.14
164,B24,289.92,48.28
160,B20,42.67,3.37
179,B39,328.95,2.24
169,B29,65.41,3.31
227,X227,160.94,8.34
165,B25,323.23,5.24
12,G12,326.96,79.56
19,G19,76.91,12.37
24,G24,210.64,20.66
29,G29,286.45,21.35
5,G05,162.96,29.1
6,G06,41.78,25.01
25,G25,314.9,46.42
20,G20,134.2,49.72
11,G11,36.24,67.08
28,G28,321.07,5.28
82,E12,15.75,78.82
84,E14,288.73,35.02
103,E33,41.11,23.62
95,E25,317.09,24.06
81,E11,229.69,42.66
101,E31,135.12,46.47
80,E10,241.77,71.6
94,E24,322.0,78.23
47,R10,226.51,74.3
48,R11,324.95,34.84
58,R21,266.41,38.79
46,R09,169.75,35.09
57,R20,357.26,54.92
56,R19,44.55,5.65
42,R05,106.25,5.98
41,R04,60.11,8.41
226,X226,295.3,57.34
230,X230,61.87,10.33
162,B22,137.99,11.88
174,B34,259.85,11.34
166,B26,199.98,50.72
159,B19,86.6,16.42
175,B35,33.53,53.37
152,B12,270.91,38.14
164,B24,289.92,48.28
160,B20,42.67,3.37
179,B39,328.95,2.24
169,B29,65.41,3.31
227,X227,160.94,8.34
165,B25,323.23,5.24
12,G12,326.96,79.56
19,G19,76.91,12.37
24,G24,210.64,20.66
29,G29,286.45,21.35
5,G05,162.96,29.1
6,G06,41.78,25.01
25,G25,314.9,46.42
20,G20,134.2,49.72
11,G11,36.24,67.08
28,G28,321.07,5.28
82,E12,15.75,78.82
84,E14,288.73,35.02
103,E33,41.11,23.62
95,E25,317.09,24.06
81,E11,229.69,42.66
101,E31,135.12,46.47
80,E10,241.77,71.6
94,E24,322.0,78.23
47,R10,226.51,74.3
48,R11,324.95,34.84
58,R21,266.41,38.79
46,R09,169.75,35.09
57,R20,357.26,54.92
56,R19,44.55,5.65
42,R05,106.25,5.98
41,R04,60.11,8.41
226,X226,295.3,57.34
230,X230,61.87,10.33
162,B22,137.99,11.88
174,B34,259.85,11.34
166,B26,199.98,50.72
159,B19,86.6,16.42
175,B35,33.53,53.37
152,B12,270.91,38.14
164,B24,289.92,48.28
160,B20,42.67,3.37
179,B39,328.95,2.24
169,B29,65.41,3.31
227,X227,160.94,8.34
165,B25,323.23,5.24
12,G12,326.94,79.59
19,G19,76.93,12.36
24,G24,210.62,20.64
29,G29,286.46,21.37
5,G05,162.95,29.12
6,G06,41.78,24.99
25,G25,314.89,46.44
20,G20,134.17,49.74
11,G11,36.23,67.05
28,G28,321.05,5.28
82,E12,15.75,78.8
84,E14,288.74,35.03
103,E33,41.12,23.61
95,E25,317.1,24.07
81,E11,229.71,42.67
101,E31,135.13,46.45
80,E10,241.82,71.61
94,E24,321.97,78.24
47,R10,226.43,74.27
48,R11,324.93,34.86
58,R21,266.44,38.8
46,R09,169.76,35.06
57,R20,357.3,54.9
56,R19,44.56,5.63
42,R05,106.23,5.99
41,R04,60.08,8.42
226,X226,295.34,57.35
230,X230,61.85,10.33
162,B22,137.98,11.9
174,B34,259.87,11.35
166,B26,199.97,50.69
159,B19,86.58,16.43
175,B35,33.56,53.36
152,B12,270.94,38.16
164,B24,289.89,48.28
160,B20,42.65,3.36
179,B39,328.94,2.24
169,B29,65.43,3.3
227,X227,160.94,8.32
165,B25,323.22,5.26
12,G12,326.94,79.59
19,G19,76.93,12.36
24,G24,210.62,20.64
29,G29,286.46,21.37
5,G05,162.95,29.12
6,G06,41.78,24.99
25,G25,314.89,46.44
20,G20,134.17,49.74
11,G11,36.23,67.05
28,G28,321.05,5.28
82,E12,15.75,78.8
84,E14,288.74,35.03
103,E33,41.12,23.61
95,E25,317.1,24.07
81,E11,229.71,42.67
101,E31,135.13,46.45
80,E10,241.82,71.61
94,E24,321.97,78.24
47,R10,226.43,74.27
48,R11,324.93,34.86
58,R21,266.44,38.8
46,R09,169.76,35.06
57,R20,357.3,54.9
56,R19,44.56,5.63
42,R05,106.23,5.99
41,R04,60.08,8.42
226,X226,295.34,57.35
230,X230,61.85,10.33
162,B22,137.98,11.9
174,B34,259.87,11.35
166,B26,199.97,50.69
159,B19,86.58,16.43
175,B35,33.56,53.36
152,B12,270.94,38.16
164,B24,289.89,48.28
160,B20,42.65,3.36
179,B39,328.94,2.24
169,B29,65.43,3.3
227,X227,160.94,8.32
165,B25,323.22,5.26
12,G12,326.94,79.59
19,G19,76.93,12.36
24,G24,210.62,20.64
29,G29,286.46,21.37
5,G05,162.95,29.12
6,G06,41.78,24.99
25,G25,314.89,46.44
20,G20,134.17,49.74
11,G11,36.23,67.05
28,G28,321.05,5.28
82,E12,15.75,78.8
84,E14,288.74,35.03
103,E33,41.12,23.61
95,E25,317.1,24.07
81,E11,229.71,42.67
101,E31,135.13,46.45
80,E10,241.82,71.61
94,E24,321.97,78.24
47,R10,226.43,74.27
48,R11,324.93,34.86
58,R21,266.44,38.8
46,R09,169.76,35.06
57,R20,357.3,54.9
56,R19,44.56,5.63
42,R05,106.23,5.99
41,R04,60.08,8.42
226,X226,295.34,57.35
230,X230,61.85,10.33
162,B22,137.98,11.9
174,B34,259.87,11.35
166,B26,199.97,50.69
159,B19,86.58,16.43
175,B35,33.56,53.36
152,B12,270.94,38.16
164,B24,289.89,48.28
160,B20,42.65,3.36
179,B39,328.94,2.24
169,B29,65.43,3.3
227,X227,160.94,8.32
165,B25,323.22,5.26
12,G12,326.92,79.61
19,G19,76.95,12.34
24,G24,210.61,20.62
29,G29,286.48,21.38
5,G05,162.94,29.15
6,G06,41.79,24.97
25,G25,314.88,46.47
20,G20,134.14,49.75
11,G11,36.23,67.03
28,G28,321.04,5.29
82,E12,15.76,78.78
84,E14,288.76,35.04
103,E33,41.12,23.59
95,E25,317.1,24.09
81,E11,229.73,42.69
101,E31,135.15,46.44
80,E10,241.87,71.62
94,E24,321.94,78.26
47,R10,226.35,74.25
48,R11,324.92,34.89
58,R21,266.48,38.81
46,R09,169.77,35.03
57,R20,357.34,54.88
56,R19,44.58,5.61
42,R05,106.21,6.01
41,R04,60.06,8.42
226,X226,295.38,57.35
230,X230,61.84,10.33
162,B22,137.97,11.91
174,B34,259.89,11.36
166,B26,199.95,50.67
159,B19,86.56,16.44
175,B35,33.58,53.34
152,B12,270.96,38.17
164,B24,289.86,48.29
160,B20,42.63,3.36
179,B39,328.94,2.24
169,B29,65.44,3.28
227,X227,160.94,8.3
165,B25,323.22,5.27
12,G12,326.92,79.61
19,G19,76.95,12.34
24,G24,210.61,20.62
29,G29,286.48,21.38
5,G05,162.94,29.15
6,G06,41.79,24.97
25,G25,314.88,46.47
20,G20,134.14,49.75
11,G11,36.23,67.03
28,G28,321.04,5.29
82,E12,15.76,78.78
84,E14,288.76,35.04
103,E33,41.12,23.59
95,E25,317.1,24.09
81,E11,229.73,42.69
101,E31,135.15,46.44
80,E10,241.87,71.62
94,E24,321.94,78.26
47,R10,226.35,74.25
48,R11,324.92,34.89
58,R21,266.48,38.81
46,R09,169.77,35.03
57,R20,357.34,54.88
56,R19,44.58,5.61
42,R05,106.21,6.01
41,R04,60.06,8.42
226,X226,295.38,57.35
230,X230,61.84,10.33
162,B22,137.97,11.91
174,B34,259.89,11.36
166,B26,199.95,50.67
159,B19,86.56,16.44
175,B35,33.58,53.34
152,B12,270.96,38.17
164,B24,289.86,48.29
